id,item_group_id,title,product_type,description,link,mobile_link,image_link,condition,price,availability,brand,custom_label_0,google_product_category
1607,1607,Tivoli,,"Cutia de prânz Tivoli de la 24Bottles este ermetică, iar compartimentele sale păstrează gustul mesei, astfel,  pauza de masă devine o plăcere zilnică.  Este concepută pentru a transporta tot ce ai nevoie în mai puțin spațiu, ușurându-ți viața.  Finisajul special neuniform  este extrem de rezistent adăugând consistență și o textură incredibil de precisă.",http://127.0.0.1/product/tivoli-cutie-pranz,http://127.0.0.1/product/tivoli-cutie-pranz,https://127.0.0.1/media/Product/1607/resized640_tivoli-cutie-pranz.webp,new,"299.42 RON",in_stock,noren,,
1608,1608,"Rose Gold",,"Cutia de prânz Rose Gold de la 24Bottles este ermetică, iar compartimentele sale păstrează gustul mesei, astfel,  pauza de masă devine o plăcere zilnică.  Este concepută pentru a transporta tot ce ai nevoie în mai puțin spațiu, ușurându-ți viața.  Finisajul special neuniform  este extrem de rezistent adăugând consistență și o textură incredibil de precisă.",http://127.0.0.1/product/rose-gold-cutie-pranz,http://127.0.0.1/product/rose-gold-cutie-pranz,https://127.0.0.1/media/Product/1608/resized640_rose-gold-cutie-pranz.webp,new,"299.42 RON",in_stock,noren,,
1610,1610,"Black Marble 330 ml",,"Sticla Termos Black Marble 330 ml este o sticlă termoizolantă  care menține băuturile reci sau calde pentru ore întregi. Această sticlă nu ocupă mult loc, este ușoară și potrivită pentru orice călătorie sau activitate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Design-ul accentuează diferitele modele, adăugând un aspect elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.   Este potrivită pentru orice tip de băutură, nu reține și nu transmite gusturi.",http://127.0.0.1/product/black-marble-330-ml-sticla-termos,http://127.0.0.1/product/black-marble-330-ml-sticla-termos,https://127.0.0.1/media/Product/1610/resized640_black-marble-330-ml-sticla-termos.webp,new,"134.74 RON",in_stock,noren,,
1611,1611,"Black Marble 500 ml",,"Sticla Termos Black Marble 500 ml este o sticlă termoizolantă  care menține băuturile reci sau calde pentru ore întregi. Această sticlă nu ocupă mult loc, este ușoară și potrivită pentru orice călătorie sau activitate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Design-ul accentuează diferitele modele, adăugând un aspect elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.   Este potrivită pentru orice tip de băutură, nu reține și nu transmite gusturi.",http://127.0.0.1/product/black-marble-500-ml-sticla-termos,http://127.0.0.1/product/black-marble-500-ml-sticla-termos,https://127.0.0.1/media/Product/1611/resized640_black-marble-500-ml-sticla-termos.webp,new,"174.66 RON",in_stock,noren,,
1612,1612,"Black Marble 850 ml",,"Sticla Termos Black Marble 850 ml este o sticlă termoizolantă  care menține băuturile reci sau calde pentru ore întregi. Această sticlă nu ocupă mult loc, este ușoară și potrivită pentru orice călătorie sau activitate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Design-ul accentuează diferitele modele, adăugând un aspect elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.   Este potrivită pentru orice tip de băutură, nu reține și nu transmite gusturi.",http://127.0.0.1/product/black-marble-850-ml-sticla-termos,http://127.0.0.1/product/black-marble-850-ml-sticla-termos,https://127.0.0.1/media/Product/1612/resized640_black-marble-850-ml-sticla-termos.webp,new,"224.57 RON",in_stock,noren,,
1613,1613,"Black Marble 350 ml",,"Cana Termos Black Marble 350 ml este o cană termoizolantă care menține băuturile calde sau reci pentru ore întregi. Este concepută să fie extrem de versatilă. Se poate folosi pentru băuturi sau mâncare.  Vine echipată cu Capac pentru Cafea, dar se poate schimba cu Capacul Sport în timpul exercițiilor fizice sau pe Capacul pentru Mâncare pentru a păstra gustările tale preferate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Finisajul accentuează diferitele modele ale designului, adăugând un stil elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.  Este potrivită pentru orice tip de băutură, nu reține și nici nu transferă gusturi.",http://127.0.0.1/product/black-marble-350-ml-cana-termos,http://127.0.0.1/product/black-marble-350-ml-cana-termos,https://127.0.0.1/media/Product/1613/resized640_black-marble-350-ml-cana-termos.webp,new,"144.72 RON",in_stock,noren,,
1614,1614,"Black Marble 600 ml",,"Cana Termos Black Marble 600 ml este o cană termoizolantă care menține băuturile calde sau reci pentru ore întregi. Este concepută să fie extrem de versatilă. Se poate folosi pentru băuturi sau mâncare.  Vine echipată cu Capac pentru Cafea, dar se poate schimba cu Capacul Sport în timpul exercițiilor fizice sau pe Capacul pentru Mâncare pentru a păstra gustările tale preferate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Finisajul accentuează diferitele modele ale designului, adăugând un stil elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.  Este potrivită pentru orice tip de băutură, nu reține și nici nu transferă gusturi.",http://127.0.0.1/product/black-marble-600-ml-cana-termos,http://127.0.0.1/product/black-marble-600-ml-cana-termos,https://127.0.0.1/media/Product/1614/resized640_black-marble-600-ml-cana-termos.webp,new,"184.64 RON",in_stock,noren,,
1615,1615,"Black Radiance 330 ml",,"Sticla Termos Black Radiance 330 ml este o sticlă termoizolantă  care menține băuturile reci sau calde pentru ore întregi. Această sticlă nu ocupă mult loc, este ușoară și potrivită pentru orice călătorie sau activitate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Design-ul accentuează diferitele modele, adăugând un aspect elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.   Este potrivită pentru orice tip de băutură, nu reține și nu transmite gusturi.",http://127.0.0.1/product/black-radiance-330-ml-sticla-termos,http://127.0.0.1/product/black-radiance-330-ml-sticla-termos,https://127.0.0.1/media/Product/1615/resized640_black-radiance-330-ml-sticla-termos.webp,new,"149.71 RON",in_stock,noren,,
1616,1616,"Black Radiance 500 ml",,"Sticla Termos Black Radiance 500 ml este o sticlă termoizolantă  care menține băuturile reci sau calde pentru ore întregi. Această sticlă nu ocupă mult loc, este ușoară și potrivită pentru orice călătorie sau activitate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Design-ul accentuează diferitele modele, adăugând un aspect elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.   Este potrivită pentru orice tip de băutură, nu reține și nu transmite gusturi.",http://127.0.0.1/product/black-radiance-500-ml-sticla-termos,http://127.0.0.1/product/black-radiance-500-ml-sticla-termos,https://127.0.0.1/media/Product/1616/resized640_black-radiance-500-ml-sticla-termos.webp,new,"199.62 RON",in_stock,noren,,
1617,1617,"Carrara 330 ml",,"Sticla Termos Carrara 330 ml este o sticlă termoizolantă  care menține băuturile reci sau calde pentru ore întregi. Această sticlă nu ocupă mult loc, este ușoară și potrivită pentru orice călătorie sau activitate.  Poți adăugă mai multe funcții cu capace și accesorii utile.  Design-ul accentuează diferitele modele, adăugând un aspect elegant și o textură precisă. Gura largă a sticlei permite umplerea ușoară cu gheață, iar băutura să fie consumată confortabil.   Este potrivită pentru orice tip de băutură, nu reține și nu transmite gusturi.",http://127.0.0.1/product/carrara-330-ml-sticla-termos,http://127.0.0.1/product/carrara-330-ml-sticla-termos,https://127.0.0.1/media/Product/1617/resized640_carrara-330-ml-sticla-termos.webp,new,"134.74 RON",in_stock,noren,,
